"TABLA DE COLINDANCIAS ""ANANDA""",,,,,,,,,,,,,,,,,,,,,,,
LOTE,Cliente,M2 PRIVATIVO,% INDIVISO,M2 Area Comun,M2 Area Recreativa,M2 Pasillos,Total Terreno,NORTE,SUR,ESTE,OESTE,Total Construccion,Lista 1 Preventa Construccion         (3 unidades),Lista 2 Preventa Construccion (3 unidades),Lista 3  Preventa Contstruccion               (3 unidades),Lista 4                (3 unidades),Lista 5                (3 unidades),Lista 6                (3 unidades),Lista 7                (3 unidades),Lista 8               (3 unidades),Lista 9                (3 unidades),Lista 10            (6 unidades),
16,Vendido,161.00,2.37%,57.39,11.61,6.63,236.63,7 m con Calle Puerto Marquez,7 m con Área Común,23 m con Lote 17,23 m con Lote 15,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
17,Vendido,161.00,2.37%,57.39,11.61,6.63,236.63,7 m con Calle Puerto Marquez,7 m con Área Común,23 m con Lote 18,23 m con Lote 16,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
18,Vendido,161.00,2.37%,57.39,11.61,6.63,236.63,7 m con Calle Puerto Marquez,7 m con Área Común,21 m con Lote 19 y 2 m con Pasillo,23 m con Lote 17,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
19,Vendido,147.00,2.16%,52.40,10.60,6.05,216.05,7 m con Calle Puerto Marquez,7 m con Pasillo,21 m con Lote 20,21 m con Lote 18,128.8," $ 3,359,776 "," $ 3,428,092 "," $ 3,497,773 "," $ 3,568,849 "," $ 3,641,346 "," $ 3,715,293 "," $ 3,790,719 "," $ 3,867,653 "," $ 3,946,126 "," $ 4,026,169 ",
20,Vendido,147.00,2.16%,52.40,10.60,6.05,216.05,7 m con Calle Puerto Marquez,7 m con Pasillo,21 m con Lote 21,21 m con Lote 19,128.8," $ 3,359,776 "," $ 3,428,092 "," $ 3,497,773 "," $ 3,568,849 "," $ 3,641,346 "," $ 3,715,293 "," $ 3,790,719 "," $ 3,867,653 "," $ 3,946,126 "," $ 4,026,169 ",
21,Vendido,147.00,2.16%,52.40,10.60,6.05,216.05,7 m con Calle Puerto Marquez,7 m con Pasillo,21 m con Lote 22,21 m con Lote 20,128.8," $ 3,359,776 "," $ 3,428,092 "," $ 3,497,773 "," $ 3,568,849 "," $ 3,641,346 "," $ 3,715,293 "," $ 3,790,719 "," $ 3,867,653 "," $ 3,946,126 "," $ 4,026,169 ",
22,Vendido,147.00,2.16%,52.40,10.60,6.05,216.05,7 m con Calle Puerto Marquez,7 m con Pasillo,21 m calle Puerto Monaco,21 m con Lote 21,128.8," $ 3,359,776 "," $ 3,428,092 "," $ 3,497,773 "," $ 3,568,849 "," $ 3,641,346 "," $ 3,715,293 "," $ 3,790,719 "," $ 3,867,653 "," $ 3,946,126 "," $ 4,026,169 ",
23,,161.00,2.37%,57.39,11.61,6.63,236.63,23 m con Pasillo,23 m con Lote 24,7 m con calle Puerto Monaco,7 m con Área Común,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
24,,161.00,2.37%,57.39,11.61,6.63,236.63,23 m con Lote 23,23 m con Lote 25,7 m con calle Puerto Monaco,7 m con Área Común,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
25,,161.00,2.37%,57.39,11.61,6.63,236.63,23 m con Lote 24,23 m con Lote 26,7 m con calle Puerto Monaco,7 m con Área Común,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
